instruction_mouse.x,instruction_mouse.y,instruction_mouse.leftButton,instruction_mouse.midButton,instruction_mouse.rightButton,instruction_mouse.clicked_name,introduce_general.thisRepN,introduce_general.thisTrialN,introduce_general.thisN,introduce_general.thisIndex,introduce_general.ran,thisInstruction,participant,session,game version,date,expName,psychopyVersion,OS,frameRate,PROLIFIC PID,STUDY ID,SESSION ID,move_resp.keys,move_resp.rt,end_resp.keys,phase,condition,trial_num,time_limit,completion_time,left_right_steps,number_of_obsticle_blocks,number_of_tree_blocks,quest_complete,responsivity_summary,av_inter_brainslug_intervals,proportion_jitter,jitter_direction_proportion_right,calibration_phase.thisRepN,calibration_phase.thisTrialN,calibration_phase.thisN,calibration_phase.thisIndex,calibration_phase.ran,BlockLabel,nObsticles,backgroundImage,phaseLabel,n_side_steps,success_im,gameover_im,success_condition,introduce_learning_or_choice.thisRepN,introduce_learning_or_choice.thisTrialN,introduce_learning_or_choice.thisN,introduce_learning_or_choice.thisIndex,introduce_learning_or_choice.ran,choice_resp.keys,chosen_quest,unchosen_quest,choice_resp_3afc.keys,choice_resp_3afc.rt,unchosen_quests,forced_choice_trial.thisRepN,forced_choice_trial.thisTrialN,forced_choice_trial.thisN,forced_choice_trial.thisIndex,forced_choice_trial.ran,enjoyment_slider.response,enjoyment_slider.rt,effort_slider.response,effort_slider.rt,show_loop2.thisRepN,show_loop2.thisTrialN,show_loop2.thisN,show_loop2.thisIndex,show_loop2.ran,trials_per_block.thisRepN,trials_per_block.thisTrialN,trials_per_block.thisN,trials_per_block.thisIndex,trials_per_block.ran
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,9,9,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,10,10,7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug No Barriers With Money,0,images/assets/snowy_money.jpg,learning,10,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,With Brainslug Difficult 1 No Money,With Brainslug Difficult 1 No Money,left,5.9264,"[""With Brainslug Difficult 2 No Money"",""With Brainslug Difficult 2 With Money""]",0,0,0,4,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 2 No Money,12,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,1,1,3,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug Difficult 2 With Money,12,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,2,2,7,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,No Brainslug No Barriers No Money,0,images/assets/snowy_original.jpg,learning,10,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,3,3,10,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,"[""right"",""right"",""right"",""up"",""right"",""down"",""right"",""up"",""up"",""left"",""right"",""right"",""up"",""up"",""right"",""down"",""down"",""right"",""right"",""left"",""right"",""up"",""down"",""right"",""up"",""up""]","[0.7712000000476564,1.1621000000236563,1.4961000000237163,1.947800000011739,2.436600000023873,2.786800000011908,3.1369999999999436,3.2467000000476673,3.855700000047591,3.895100000023831,4.1492000000475855,4.610900000035599,4.906200000047647,5.272500000000036,5.51090000003569,5.877400000035777,6.227600000023813,6.500700000047573,6.733499999999822,7.465800000011768,7.738800000011906,7.859200000047622,8.399900000035586,8.672900000035725,9.508800000011888,9.780800000011823]",,calibration,With Brainslug Difficult 1 No Money,5,9.9017,9.9091,2,1,0,FALSE,na,na,na,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 No Money,6,images/assets/snowy_original.jpg,learning,20,images/assets/success.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,4,4,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,67fc2a459a49ce63161903b2,001,3,2025-04-15_10h17.47.085,avatar_quest_3AFC_legacy,2022.1.3,Win32,59.88023952,67fc2a459a49ce63161903b2,67fe6e666cecbc9329ddf6d6,67fe72ec62e80c511bd32011,,,,,,,,,,,,,,,,,,,,,,With Brainslug Difficult 1 With Money,6,images/assets/snowy_money.jpg,learning,20,images/assets/success_money.jpg,images/assets/gameover.jpg,,,,,,,,,,,,,0,5,5,0,1,,,,,,,,,,,,,,
